id,region,neighbourhood,room_type,price,number_of_reviews,availability_365,price_log,price_log_median,occupancy_proxy,occupancy_ord,reviews_log,popularity_score,potential_revenue_score
581831389771390612,Central,Vadhana,Entire home/apt,2600,0,365,7.8636512654486515,7.460202536033221,0.0,1,0.0,1,7.460202536033221
594059900616421680,Central,Khlong Toei,Entire home/apt,3114,25,142,8.043984431221553,7.460202536033221,0.6109589041095891,3,3.258096538021482,3,67.14182282429898
582281778927051502,Central,Khlong Toei,Entire home/apt,1750,5,311,7.467942332285852,7.460202536033221,0.147945205479452,2,1.791759469228055,3,44.761215216199325
594505017288660955,Central,Parthum Wan,Private room,2495,9,117,7.822444729489319,7.313886831633462,0.6794520547945205,3,2.302585092994046,3,65.82498148470115
582436327170185451,Central,Parthum Wan,Entire home/apt,1400,0,361,7.244941546337007,7.460202536033221,0.010958904109588996,1,0.0,1,7.460202536033221
582837209827389129,Central,Khlong Toei,Private room,1825,1,325,7.509883061154913,7.313886831633462,0.1095890410958904,2,0.6931471805599453,3,43.88332098980077
582838538804370405,Central,Khlong Toei,Private room,2028,8,318,7.615298339825815,7.313886831633462,0.12876712328767126,2,2.1972245773362196,3,43.88332098980077
582839319075826350,Central,Khlong Toei,Private room,2258,2,325,7.7226775164680035,7.313886831633462,0.1095890410958904,2,1.0986122886681098,3,43.88332098980077
582842195917961697,Central,Khlong Toei,Private room,3608,0,266,8.19118600464279,7.313886831633462,0.27123287671232876,2,0.0,1,14.627773663266924
583234736155676903,Central,Khlong Toei,Entire home/apt,1036,41,101,6.9440872082295275,7.460202536033221,0.7232876712328767,3,3.7376696182833684,3,67.14182282429898
583285548081862470,Central,Vadhana,Entire home/apt,700,0,289,6.55250788703459,7.460202536033221,0.2082191780821918,2,0.0,1,14.920405072066442
584474434858591762,Central,Vadhana,Entire home/apt,1550,10,162,7.346655163176539,7.460202536033221,0.5561643835616439,3,2.3978952727983707,3,67.14182282429898
584577266384669674,Central,Parthum Wan,Entire home/apt,3000,4,132,8.006700845440367,7.460202536033221,0.6383561643835616,3,1.6094379124341003,3,67.14182282429898
594550356487389840,Central,Parthum Wan,Private room,4138,12,115,8.328209491748732,7.313886831633462,0.6849315068493151,3,2.5649493574615367,3,65.82498148470115
594552194212768291,Central,Khlong Toei,Entire home/apt,950,5,217,6.85751406254539,7.460202536033221,0.4054794520547945,2,1.791759469228055,3,44.761215216199325
594678001226412298,Central,Khlong Toei,Private room,1144,0,364,7.0431599159883405,7.313886831633462,0.002739726027397249,1,0.0,1,7.313886831633462
603428340585556404,Central,Khlong Toei,Entire home/apt,1600,44,310,7.3783837129967145,7.460202536033221,0.15068493150684936,2,3.8066624897703196,3,44.761215216199325
603438520789848320,Central,Vadhana,Entire home/apt,3002,25,61,8.00736706798333,7.460202536033221,0.8328767123287671,3,3.258096538021482,3,67.14182282429898
603446586164341850,Central,Khlong Toei,Entire home/apt,2507,39,235,7.827240901752812,7.460202536033221,0.3561643835616438,2,3.6888794541139363,3,44.761215216199325
595125485157952676,Central,Ratchathewi,Entire home/apt,2893,11,360,7.970394907191429,7.460202536033221,0.013698630136986356,1,2.4849066497880004,3,22.380607608099663
595373962545322720,Central,Khlong Toei,Entire home/apt,1446,10,347,7.277247726631484,7.460202536033221,0.049315068493150704,2,2.3978952727983707,3,44.761215216199325
585197172718769011,Central,Ratchathewi,Entire home/apt,1700,2,361,7.438971592395862,7.460202536033221,0.010958904109588996,1,1.0986122886681098,3,22.380607608099663
595980642301673965,Central,Vadhana,Private room,1500,3,360,7.313886831633462,7.313886831633462,0.013698630136986356,1,1.3862943611198906,3,21.941660494900386
596006150034723525,Central,Khlong Toei,Entire home/apt,2500,18,361,7.824445930877619,7.460202536033221,0.010958904109588996,1,2.9444389791664403,3,22.380607608099663
596071043137279428,Central,Khlong Toei,Entire home/apt,5329,11,357,8.58110651715989,7.460202536033221,0.021917808219178103,1,2.4849066497880004,3,22.380607608099663
596693001181718980,Central,Vadhana,Private room,1000,0,364,6.90875477931522,7.313886831633462,0.002739726027397249,1,0.0,1,7.313886831633462
596763710435709872,Central,Ratchathewi,Entire home/apt,2629,11,82,7.874739125171811,7.460202536033221,0.7753424657534247,3,2.4849066497880004,3,67.14182282429898
585385269485969721,Central,Khlong Toei,Entire home/apt,1290,9,323,7.1631723908466425,7.460202536033221,0.1150684931506849,2,2.302585092994046,3,44.761215216199325
597370835926152708,Central,Khlong Toei,Entire home/apt,1521,0,342,7.3277805384216315,7.460202536033221,0.06301369863013695,2,0.0,1,14.920405072066442
586788353115857536,Central,Vadhana,Entire home/apt,1750,1,352,7.467942332285852,7.460202536033221,0.03561643835616435,2,0.6931471805599453,3,44.761215216199325
597426361415531843,Central,Parthum Wan,Entire home/apt,2895,13,113,7.971085753505607,7.460202536033221,0.6904109589041096,3,2.6390573296152584,3,67.14182282429898
597463929741705763,Central,Khlong Toei,Entire home/apt,5429,44,70,8.599694412927981,7.460202536033221,0.8082191780821918,3,3.8066624897703196,3,67.14182282429898
587370237147842331,Central,Vadhana,Entire home/apt,1211,12,343,7.10002716662926,7.460202536033221,0.0602739726027397,2,2.5649493574615367,3,44.761215216199325
598017373985715408,Central,Khlong Toei,Private room,1306,3,360,7.175489713624222,7.313886831633462,0.013698630136986356,1,1.3862943611198906,3,21.941660494900386
587492945934576551,Central,Parthum Wan,Entire home/apt,3400,0,362,8.131824785007195,7.460202536033221,0.008219178082191747,1,0.0,1,7.460202536033221
598020459070328647,Central,Khlong Toei,Private room,1708,0,362,7.443663683115591,7.313886831633462,0.008219178082191747,1,0.0,1,7.313886831633462
598108313678138376,Central,Khlong Toei,Private room,923,3,362,6.828712071641684,7.313886831633462,0.008219178082191747,1,1.3862943611198906,3,21.941660494900386
598990942810488365,Central,Vadhana,Entire home/apt,2758,8,117,7.922623574217286,7.460202536033221,0.6794520547945205,3,2.1972245773362196,3,67.14182282429898
599045963508830876,Central,Khlong Toei,Entire home/apt,2183,20,85,7.688913336864796,7.460202536033221,0.7671232876712328,3,3.044522437723423,3,67.14182282429898
604543156463445245,Central,Khlong Toei,Entire home/apt,1458,27,117,7.285506548522785,7.460202536033221,0.6794520547945205,3,3.332204510175204,3,67.14182282429898
604679306063671774,Central,Khlong Toei,Entire home/apt,2299,0,73,7.7406644019172415,7.460202536033221,0.8,3,0.0,1,22.380607608099663
604852311754962434,Central,Vadhana,Entire home/apt,2768,11,115,7.926241523170962,7.460202536033221,0.6849315068493151,3,2.4849066497880004,3,67.14182282429898
605457496435703177,Central,Vadhana,Entire home/apt,1500,19,0,7.313886831633462,7.460202536033221,1.0,3,2.995732273553991,3,67.14182282429898
588676474366038239,Central,Vadhana,Private room,1650,9,352,7.409136443920128,7.313886831633462,0.03561643835616435,2,2.302585092994046,3,43.88332098980077
588693186965735761,Central,Vadhana,Private room,950,8,361,6.85751406254539,7.313886831633462,0.010958904109588996,1,2.1972245773362196,3,21.941660494900386
