,id,host_id,neighbourhood,region,room_type,price,minimum_nights,reviews_count_bc,reviews_activity,reviews_month_bc,reviews_engagement
13839,17111163,114908177,Pra Wet,Southeast,Hotel room,650,1,1.7434396665103864,High,0.2283997702214397,High
13840,18556062,128820736,Lat Krabang,Southeast,Hotel room,1694,1,1.8853919020923533,High,0.23632267629622927,High
13841,18569729,128820736,Lat Krabang,Southeast,Hotel room,1496,1,1.963227612706831,High,0.2575213976259642,High
13842,19126263,128820736,Lat Krabang,Southeast,Hotel room,1364,1,1.761162271214405,High,0.1933934629878111,High
13843,19126623,128820736,Lat Krabang,Southeast,Hotel room,1199,1,2.0548251528704964,High,0.27022743518202463,High
13844,20642390,147582982,Phra Khanong,Southeast,Hotel room,3000,1,0.0,Low,0.0,Low
13845,22500325,13598910,Bang Na,Southeast,Hotel room,2200,3,0.5985645144039942,Moderate,0.019101399462104762,Moderate
13846,22509651,13598910,Bang Na,Southeast,Hotel room,2500,3,0.873721775615597,Moderate,0.036533323259712265,Moderate
13847,22510651,13598910,Bang Na,Southeast,Hotel room,2200,3,0.873721775615597,Moderate,0.036533323259712265,Moderate
13848,25329891,30650587,Phra Khanong,Southeast,Hotel room,2000,1,0.0,Low,0.0,Low
13849,25329915,30650587,Phra Khanong,Southeast,Hotel room,2500,1,0.0,Low,0.0,Low
13850,26861756,47634456,Lat Krabang,Southeast,Hotel room,690,1,1.1580619747646639,Moderate,0.08672775795464666,Moderate
13851,29616411,52398651,Suanluang,Southeast,Hotel room,990,1,1.7338268725097203,High,0.20805099099361088,High
13852,30306520,52398651,Suanluang,Southeast,Hotel room,1010,1,1.313703333969422,High,0.09274749755092497,Moderate
13853,32512802,158545122,Lat Krabang,Southeast,Hotel room,978,1,1.963227612706831,High,0.26626259063320384,High
13854,33257406,245257870,Pra Wet,Southeast,Hotel room,1311,1,0.5985645144039942,Moderate,0.12410888885340876,High
13855,33262084,245257870,Pra Wet,Southeast,Hotel room,1691,1,1.1580619747646639,Moderate,0.08672775795464666,Moderate
13856,33262596,245257870,Pra Wet,Southeast,Hotel room,1326,1,1.2452134808617057,High,0.09274749755092497,Moderate
13857,34821750,262168169,Lat Krabang,Southeast,Hotel room,1357,1,1.2452134808617057,High,0.2140935258125289,High
13858,34823873,217244806,Lat Krabang,Southeast,Hotel room,700,1,0.0,Low,0.0,Low
13859,34912719,103343791,Phra Khanong,Southeast,Hotel room,1400,1,1.369437343162217,High,0.11448849240338319,High
13860,35395075,174846882,Phra Khanong,Southeast,Hotel room,1000,1,0.5985645144039942,Moderate,0.019101399462104762,Moderate
13861,35396801,174846882,Phra Khanong,Southeast,Hotel room,1100,1,0.5985645144039942,Moderate,0.019101399462104762,Moderate
13862,35068726,262168169,Lat Krabang,Southeast,Hotel room,1357,1,0.873721775615597,Moderate,0.18908624967146676,High
13863,35773185,43652003,Lat Krabang,Southeast,Hotel room,1399,1,1.7771568316049475,High,0.23216585018755725,High
13864,36400772,273701410,Lat Krabang,Southeast,Hotel room,650,113,1.9842664173583708,High,0.26920786405106495,High
13865,36184624,13598910,Bang Na,Southeast,Hotel room,1800,3,0.0,Low,0.0,Low
13866,36255822,43652003,Lat Krabang,Southeast,Hotel room,1290,1,1.1580619747646639,Moderate,0.08044971474915921,Moderate
13867,36594707,273701410,Lat Krabang,Southeast,Hotel room,650,1,1.5924586994280159,High,0.17954224632949714,High
13868,36285326,266460265,Bang Na,Southeast,Hotel room,1500,1,0.0,Low,0.0,Low
13869,36295607,266460265,Bang Na,Southeast,Hotel room,1800,1,0.0,Low,0.0,Low
13870,36773991,273701410,Lat Krabang,Southeast,Hotel room,1286,1,1.369437343162217,High,0.11939454417230204,High
13871,37802487,273701410,Lat Krabang,Southeast,Hotel room,633,1,1.9498001029643415,High,0.26693164375390743,High
13872,38688572,114908177,Pra Wet,Southeast,Hotel room,650,1,1.8438688178808236,High,0.253290968435898,High
13873,41967873,249764823,Lat Krabang,Southeast,Hotel room,360,1,0.5985645144039942,Moderate,0.2514276605814028,High
13874,42258809,249764823,Lat Krabang,Southeast,Hotel room,360,1,0.0,Low,0.0,Low
