,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
8299,Southwest,Sathon,100.52555,13.70625,Entire home/apt,1500,8,117,2.1972245773362196
8304,Southwest,Thon buri,100.48149,13.7167,Entire home/apt,1112,17,62,2.8903717578961645
8308,Southwest,Sathon,100.54822,13.72039,Private room,1286,16,1,2.833213344056216
8309,Southwest,Sathon,100.51885,13.71178,Entire home/apt,1242,52,274,3.970291913552122
8310,Southwest,Sathon,100.548172,13.72019,Private room,1286,6,1,1.9459101490553132
8316,Southwest,Sathon,100.52101,13.71209,Entire home/apt,1397,32,40,3.4965075614664802
8327,Southwest,Bang Rak,100.52331,13.72343,Entire home/apt,2571,62,296,4.143134726391533
8329,Southwest,Bangkok Yai,100.4853,13.72831,Hotel room,3290,0,0,0.0
8330,Southwest,Khlong San,100.49634,13.72218,Entire home/apt,1300,0,185,0.0
8331,Southwest,Thon buri,100.48192,13.70842,Entire home/apt,1039,0,19,0.0
8349,Southwest,Sathon,100.51981,13.71496,Shared room,690,0,1,0.0
8352,Southwest,Bang Kho laen,100.5088,13.70741,Entire home/apt,3390,0,0,0.0
8353,Southwest,Bang Khae,100.3792,13.71044,Hotel room,3400,0,0,0.0
8386,Southwest,Bang Kho laen,100.5105,13.69051,Private room,760,0,187,0.0
8402,Southwest,Bang Kho laen,100.50904,13.68845,Private room,760,0,187,0.0
8404,Southwest,Sathon,100.53021,13.71732,Entire home/apt,1480,0,11,0.0
8407,Southwest,Nong Khaem,100.34122,13.69794,Private room,501,0,0,0.0
8416,Southwest,Phasi Charoen,100.46174,13.73024,Entire home/apt,399,10,358,2.3978952727983707
8419,Southwest,Thon buri,100.47143,13.71244,Private room,491,82,234,4.418840607796598
8424,Southwest,Phasi Charoen,100.4381,13.71238,Entire home/apt,1343,19,207,2.995732273553991
8450,Southwest,Sathon,100.51814,13.71105,Entire home/apt,2197,20,38,3.044522437723423
8460,Southwest,Samphanthawong,100.5057,13.73893,Shared room,388,0,0,0.0
8462,Southwest,Bang Rak,100.51712,13.7184,Hotel room,3714,0,9,0.0
8465,Southwest,Phasi Charoen,100.44016,13.71273,Entire home/apt,1210,14,214,2.70805020110221
8466,Southwest,Phasi Charoen,100.44054,13.71376,Entire home/apt,1300,13,236,2.6390573296152584
8467,Southwest,Phasi Charoen,100.43892,13.71218,Entire home/apt,2600,1,51,0.6931471805599453
8477,Southwest,Sathon,100.53134,13.71907,Entire home/apt,2918,0,365,0.0
8480,Southwest,Bang Rak,100.52577,13.72717,Entire home/apt,1784,51,357,3.9512437185814275
8536,Southwest,Thon buri,100.4687,13.70995,Entire home/apt,3197,0,0,0.0
8548,Southwest,Chom Thong,100.44046,13.69827,Entire home/apt,3521,0,0,0.0
8554,Southwest,Bang Rak,100.51632,13.71839,Hotel room,5543,0,36,0.0
8570,Southwest,Bang Kho laen,100.50272,13.70258,Entire home/apt,1905,0,185,0.0
8577,Southwest,Bang Rak,100.53199,13.727,Entire home/apt,2603,27,9,3.332204510175204
8578,Southwest,Bang Rak,100.51976,13.72406,Entire home/apt,1479,102,323,4.634728988229636
8580,Southwest,Bang Rak,100.52786,13.72569,Entire home/apt,2888,3,9,1.3862943611198906
8585,Southwest,Khlong San,100.49427,13.72108,Entire home/apt,643,33,31,3.5263605246161616
8587,Southwest,Bang Rak,100.53012,13.72495,Entire home/apt,1500,57,343,4.060443010546419
8592,Southwest,Bang Bon,100.40523,13.64895,Entire home/apt,1200,1,0,0.6931471805599453
8607,Southwest,Bang Khae,100.38159,13.70974,Entire home/apt,700,0,186,0.0
8654,Southwest,Sathon,100.52958,13.71668,Entire home/apt,1100,31,339,3.4657359027997265
8658,Southwest,Rat Burana,100.50376,13.68322,Entire home/apt,3000,0,245,0.0
8660,Southwest,Bang Khae,100.38342,13.70919,Hotel room,855,0,1,0.0
8672,Southwest,Bang Kho laen,100.49937,13.70206,Entire home/apt,1189,3,307,1.3862943611198906
8677,Southwest,Yan na wa,100.52773,13.67908,Entire home/apt,1500,1,365,0.6931471805599453
8678,Southwest,Samphanthawong,100.51199,13.73443,Entire home/apt,2407,2,305,1.0986122886681098
8682,Southwest,Sathon,100.54742,13.71855,Entire home/apt,2650,2,63,1.0986122886681098
8683,Southwest,Samphanthawong,100.51186,13.7343,Entire home/apt,2758,0,302,0.0
8708,Southwest,Bang Rak,100.52611,13.72482,Entire home/apt,3117,1,365,0.6931471805599453
